Energy,Optimal_t
20,4381562.5
22,6568843.75
24,6568843.75
26,8756125.0
28,8756125.0
30,13130687.5
32,13130687.5
34,13130687.5
36,13130687.5
38,13130687.5
40,17505250.0
42,17505250.0
44,17505250.0
46,17505250.0
48,17505250.0
50,17505250.0
52,26254375.0
54,26254375.0
56,26254375.0
58,26254375.0
60,26254375.0
62,26254375.0
64,26254375.0
66,26254375.0
68,26254375.0
70,26254375.0
72,26254375.0
74,26254375.0
76,26254375.0
78,26254375.0
80,26254375.0
82,26254375.0
84,26254375.0
86,26254375.0
88,26254375.0
90,26254375.0
92,26254375.0
94,35003500.0
96,35003500.0
98,35003500.0
100,35003500.0
