Energy,Optimal_t
20,35003500.0
22,35003500.0
24,35003500.0
26,35003500.0
28,52501750.0
30,52501750.0
32,52501750.0
34,52501750.0
36,52501750.0
38,52501750.0
40,52501750.0
42,52501750.0
44,52501750.0
46,52501750.0
48,52501750.0
50,52501750.0
52,52501750.0
54,52501750.0
56,52501750.0
58,52501750.0
60,52501750.0
62,52501750.0
64,52501750.0
66,52501750.0
68,52501750.0
70,52501750.0
72,52501750.0
74,65625437.5
76,65625437.5
78,65625437.5
80,65625437.5
82,65625437.5
84,65625437.5
86,65625437.5
88,65625437.5
90,65625437.5
92,65625437.5
94,65625437.5
96,65625437.5
98,65625437.5
100,65625437.5
