Energy (keV),MAC
20.0,128.06415753166127
22.0,99.42185901348797
24.0,79.12475537423214
26.0,63.65601904247129
28.0,52.25536834640432
30.0,43.56829930301057
32.0,36.658897388606604
34.0,30.998043039626285
36.0,26.68024867686079
38.0,23.013809584417878
40.0,20.006981235828356
42.0,17.551708222150488
44.0,15.42640798065938
46.0,13.658310559684889
48.0,12.219885048963391
50.0,10.877615894687702
52.0,9.808318730726025
54.0,8.85953959627134
56.0,8.015027424974432
58.0,7.299625139092776
60.0,6.646072716890153
62.0,6.0796730982764435
64.0,5.581047886493717
66.0,5.132366753186288
68.0,4.736542431867443
70.0,21.2223637746063
72.0,19.83765530667167
74.0,18.456588196926344
76.0,17.24216295161659
78.0,16.17559990369016
80.0,15.12942314758364
82.0,14.174021248041377
84.0,13.307838120669555
86.0,12.507991447097961
88.0,11.790417618936017
90.0,11.128578423670037
92.0,10.465815953714223
94.0,9.931164496988039
96.0,9.429056422100187
98.0,8.937998339956946
100.0,8.451849452573155
