Energy,PositionX,PositionY
57.8548,-183.8115,-133.2742
57.3678,-199.437,-146.1371
66.0293,-15.6308,-199.5745
63.6419,-94.7519,-199.6073
56.5211,35.2517,-199.8537
56.6248,-57.1403,-199.9853
61.1257,0.0022,-94.5565
70.0,-10.4981,-16.6439
70.0,-9.3688,17.0542
70.0,13.3609,-15.0175
60.875,132.7829,-146.4225
70.0,-5.3767,-3.7073
61.6566,-136.7797,-178.476
70.0,13.7843,-13.7012
59.6766,23.8058,-80.987
64.373,107.9382,20.8652
58.9214,-58.832,41.2668
70.0,-19.9047,-3.6293
70.0,11.7785,-12.4176
66.489,130.9077,132.445
61.6237,-75.5949,-33.3152
46.1835,25.2271,145.7036
70.0,10.4596,-0.7988
69.0081,74.9819,-38.9906
70.0,2.8178,2.381
58.1661,116.3538,117.6216
70.0,-4.6131,13.3348
70.0,12.7106,-16.0402
70.0,15.3567,4.178
60.3762,199.7403,-99.606
68.6093,-58.727,-27.404
70.0,-18.468,5.6288
57.9252,105.1622,-199.809
59.8563,-74.1826,128.001
60.3886,-199.8412,-178.703
61.4773,51.6938,-162.3293
56.8625,199.7942,197.9039
58.2482,-153.0884,36.3096
70.0,16.2776,-12.0449
68.1319,-16.9784,95.5153
70.0,3.8314,8.7215
70.0,18.0827,8.0082
68.9355,71.081,12.8201
70.0,-43.2766,41.2479
64.1529,-180.1673,199.7161
70.0,23.0078,3.0576
70.0,0.5945,20.2335
70.0,-20.2179,0.9312
69.1858,8.9005,-85.1289
56.0582,-96.2488,-199.7451
67.4874,102.6577,-174.1499
70.0,2.3043,4.9147
70.0,34.3155,25.5693
70.0,-17.0928,7.9748
62.1597,199.9269,164.3211
64.3999,73.3809,67.1209
69.8221,-32.3907,36.4558
70.0,-5.4778,16.0496
56.9818,-199.9342,81.9527
59.525,192.6849,199.8948
57.3405,179.8713,-18.3924
66.0074,-183.0274,163.7577
70.0,-16.906,11.3369
62.3842,199.8191,86.6927
70.0,12.5691,-12.568
70.0,-17.2712,-5.3503
63.5779,-194.6126,43.7642
69.0947,-10.9771,58.7048
65.3661,-137.9507,-70.3527
56.3638,-199.9486,27.3915
57.5332,182.878,199.9651
68.2867,-7.8248,-107.8392
67.654,-25.8247,-120.3614
70.0,-2.3432,8.0491
69.2601,78.3768,-17.2252
60.5693,8.7353,164.3172
70.0,105.1388,199.985
57.1623,-189.7876,199.8231
